Timepoint	Time [s]	Object ID	X	Y	Tracked Nuclei - Age [s]	Tracked Nuclei - Current Displacement X [µm]	Tracked Nuclei - Current Displacement Y [µm]	Tracked Nuclei - Track Point X	Tracked Nuclei - Track Point Y	Tracked Nuclei - Current Step Size [µm]	Tracked Nuclei - Current Speed [µm/s]	Tracks: Tracked Nuclei - Start Type	Tracks: Tracked Nuclei - End Type	Tracks: Tracked Nuclei - Parent ID	Tracks: Tracked Nuclei - Root ID	Tracks: Tracked Nuclei - Accumulated Distance [µm]	Tracks: Tracked Nuclei - Displacement [µm]
21	42	11	316	9	42.03	-0.4966	-1.49	320	10	0.7449	0.3725	Begin	End	11	11	15.73	1.57
22	44	11	317	8	44.03	0	-1.49	321	10	0.5995	0.2985	Begin	End	11	11	15.73	1.57
23	46	11	320	10	46.05	-0.4966	-0.9932	320	11	1.053	0.5289	Begin	End	11	11	15.73	1.57
24	48	11	320	6	48.01	0.4966	-1.986	322	9	1.598	0.8022	Begin	End	11	11	15.73	1.57
25	50	11	315	10	50.03	-0.9932	-0.9932	319	11	1.144	0.5695	Begin	End	11	11	15.73	1.57
26	52	11	319	10	52.03	-1.49	-0.9932	318	11	1.034	0.5146	Begin	End	11	11	15.73	1.57
27	54	11	318	9	54.05	0	-1.49	321	10	1.136	0.5682	Begin	End	11	11	15.73	1.57
28	56	11	320	6	56.03	0.4966	-1.986	322	9	0.5995	0.3022	Begin	End	11	11	15.73	1.57
29	58	11	319	7	58.01	0	-1.986	321	9	0.4966	0.2473	Begin	End	11	11	15.73	1.57
30	60	11	318	8	60.05	0	-1.49	321	10	0.4966	0.2463	Begin	End	11	11	15.73	1.57
31	62	11	315	9	62.05	-0.4966	-1.49	320	10	0.4966	0.2483	Begin	End	11	11	15.73	1.57
0	0	12	1250	15	0	0	0	1249	17	0.4966	0.2446	Begin	End	12	12	7.158	0.4966
1	2	12	1249	14	2.03	-0.4966	0	1248	17	0.4966	0.2454	Begin	End	12	12	7.158	0.4966
2	4	12	1249	15	4.047	0	0	1249	17	0.5995	0.2985	Begin	End	12	12	7.158	0.4966
3	6	12	1249	14	6.047	-0.4966	-0.4966	1248	16	0.3512	0.1763	Begin	End	12	12	7.158	0.4966
4	8	12	1248	13	8.03	-0.4966	-0.4966	1248	16	0	0	Begin	End	12	12	7.158	0.4966
5	10	12	1248	13	10.03	-0.4966	-0.4966	1248	16	0.2483	0.1236	Begin	End	12	12	7.158	0.4966
